rule,human_count,machine_count,human_docs,machine_docs,total_count
"NOUN(DET/det, *, NOUN/nmod, NOUN/nmod)",5,8,5,6,13
"NOUN(*, NOUN/conj)",1,11,1,10,12
"NOUN(CCONJ/cc, *, NOUN/nmod)",4,8,4,6,12
"NOUN(PUNCT/punct, *)",9,3,6,3,12
"ADV(*, PRON/obl, PUNCT/punct)",0,12,0,12,12
"VERB(ADP/mark, *, NOUN/obj, VERB/conj)",3,8,3,5,11
"PROPN(CCONJ/cc, *)",2,9,2,5,11
"ADP(*, SCONJ/fixed)",3,8,3,7,11
"PROPN(DET/det, *, PROPN/flat:name)",4,7,3,7,11
"PROPN(ADP/case, *, PROPN/flat:name)",5,6,4,6,11
"NOUN(CCONJ/cc, DET/det, *, NOUN/nmod)",1,9,1,7,10
"VERB(ADP/mark, *, NOUN/obj, NOUN/obl)",3,7,3,6,10
"NOUN(DET/det, *, PROPN/nmod, NOUN/nmod)",3,7,2,6,10
"PRON(*, VERB/acl:relcl)",9,1,6,1,10
"NOUN(DET/det, *, VERB/acl:relcl)",4,6,3,5,10
"NOUN(ADJ/amod, *)",3,7,3,5,10
"SYM(NUM/nummod, *, NOUN/nmod)",9,1,4,1,10
"PROPN(*, PROPN/flat:name, PROPN/flat:name)",1,9,1,8,10
"NOUN(ADP/case, DET/det, *, PUNCT/punct)",3,7,3,6,10
"NOUN(ADP/case, SYM/nmod, NUM/nummod, *)",2,7,1,3,9
"NOUN(ADP/case, DET/det, *, VERB/acl)",1,8,1,8,9
"NOUN(ADP/case, ADJ/amod, *)",3,6,3,5,9
"NUM(PUNCT/punct, *, PUNCT/punct)",4,5,3,5,9
"NOUN(ADP/case, *, ADJ/amod, NOUN/nmod)",1,8,1,6,9
"ADV(*, NOUN/obl)",0,9,0,8,9
"NOUN(DET/det, ADJ/amod, *, NOUN/nmod)",0,8,0,6,8
"NOUN(ADP/case, DET/det, *, VERB/acl:relcl)",2,6,2,5,8
"NOUN(ADP/case, DET/det, DET/det, *)",6,2,4,2,8
"ADV(*, NOUN/obl, PUNCT/punct)",1,7,1,5,8
"PROPN(PUNCT/punct, *)",4,4,3,3,8
"NOUN(ADP/case, DET/det, *, ADJ/amod, ADJ/amod)",0,8,0,7,8
"VERB(*, NOUN/obj, NOUN/obl)",3,5,3,5,8
"NOUN(ADP/case, *, ADJ/amod, VERB/acl)",0,8,0,5,8
"NOUN(ADP/case, *, NUM/nmod)",5,3,4,3,8
"VERB(ADP/mark, *, NOUN/obl)",7,1,4,1,8
"ADV(ADP/case, *)",5,3,3,3,8
"NOUN(DET/det, *, ADJ/amod, NOUN/nmod, NOUN/nmod)",0,7,0,5,7
"NOUN(PUNCT/punct, *, PUNCT/punct)",3,4,2,3,7
"NUM(*, NUM/flat)",2,5,1,4,7
"NUM(CCONJ/cc, *)",2,5,1,5,7
"PROPN(PUNCT/punct, *, PROPN/flat:name, PUNCT/punct)",0,7,0,7,7
"VERB(PUNCT/punct, *, VERB/ccomp)",1,6,1,6,7
"PROPN(ADP/case, DET/det, *, PROPN/flat:name, PROPN/flat:name, PROPN/appos)",0,7,0,6,7
"NOUN(ADP/case, DET/det, ADJ/amod, *, NOUN/nmod)",1,6,1,5,7
"NOUN(ADP/case, DET/det, *, NUM/appos)",1,6,1,6,7
"VERB(SCONJ/mark, *, NOUN/obj)",1,6,1,4,7
"VERB(NOUN/nsubj, *, NOUN/obj, PUNCT/punct)",3,4,3,4,7
"NOUN(ADJ/amod, *, NOUN/nmod)",2,5,2,5,7
"VERB(*, PROPN/obl:agent)",3,4,2,3,7
"NOUN(ADP/case, DET/det, *, NOUN/conj)",4,3,3,2,7
"ADV(ADV/advmod, *)",3,3,3,3,6
"NOUN(ADP/case, DET/det, *, NOUN/nmod, NOUN/nmod)",3,3,2,3,6
"VERB(*, PROPN/obl)",3,3,3,3,6
"VERB(ADP/mark, *)",3,3,3,3,6
"VERB(ADV/advmod, NOUN/nsubj, *, VERB/ccomp, PUNCT/punct)",0,6,0,5,6
"NOUN(ADP/case, *, ADJ/amod, VERB/acl:relcl)",0,6,0,5,6
"NOUN(ADP/case, *, NOUN/conj, NOUN/nmod)",3,3,3,3,6
"VERB(ADP/mark, *, NOUN/obj, VERB/advcl)",0,6,0,4,6
"NOUN(ADP/case, DET/det, *, NOUN/nmod, PROPN/nmod)",1,5,1,4,6
"VERB(NOUN/nsubj, *, NOUN/obj, VERB/advcl, PUNCT/punct)",1,5,1,5,6
"VERB(PUNCT/punct, *, NOUN/obj, NOUN/obl)",0,6,0,5,6
"VERB(PROPN/nsubj, *, NOUN/obj, VERB/advcl, PUNCT/punct)",2,4,2,4,6
"NOUN(ADP/case, DET/det, *, ADJ/amod, PROPN/nmod)",3,3,2,2,6
"VERB(PROPN/nsubj, *, NOUN/obj, PUNCT/punct)",3,3,3,3,6
"NOUN(DET/det, *, ADJ/amod, ADJ/amod)",0,6,0,5,6
"NOUN(DET/det, *, ADJ/amod, PROPN/nmod)",1,5,1,4,6
*(PROPN),3,3,2,3,6
"NOUN(*, ADJ/amod, PROPN/nmod)",0,6,0,5,6
"NOUN(*, ADJ/amod, VERB/acl:relcl)",1,5,1,5,6
"VERB(SCONJ/mark, NOUN/nsubj, *, NOUN/obj)",2,4,2,3,6
"VERB(PUNCT/punct, *, NOUN/obl)",0,5,0,4,5
"ADV(*, PUNCT/punct)",0,5,0,5,5
"PROPN(ADP/case, *, PROPN/conj)",1,4,1,3,5
"NOUN(ADP/case, NUM/nummod, *, NOUN/nmod)",4,1,4,1,5
"NOUN(CCONJ/cc, DET/det, *, ADJ/amod)",2,3,1,2,5
"NOUN(DET/det, DET/det, *, NOUN/nmod)",4,1,2,1,5
"NOUN(DET/det, ADJ/amod, *)",1,4,1,4,5
"NOUN(PUNCT/punct, *, ADJ/amod)",3,2,2,2,5
"NOUN(PUNCT/punct, *, NOUN/nmod, PUNCT/punct)",5,0,5,0,5
"NOUN(PUNCT/punct, *, VERB/acl:relcl)",0,5,0,5,5
"NOUN(PUNCT/punct, ADP/case, *, NOUN/nmod)",1,4,1,4,5
"NUM(PUNCT/punct, *)",4,1,2,1,5
"VERB(PUNCT/punct, CCONJ/cc, *, NOUN/obj)",1,4,1,3,5
"ADP(*, DET/fixed)",3,2,3,2,5
"VERB(ADP/mark, *, ADV/advmod, NOUN/obj)",1,4,1,4,5
"NOUN(ADP/case, ADJ/amod, *, NOUN/nmod)",1,4,1,4,5
"NOUN(*, NOUN/nmod, NOUN/nmod)",2,3,1,2,5
"NOUN(ADP/case, DET/det, *, NOUN/nmod, PUNCT/punct)",1,4,1,4,5
"NOUN(ADP/case, DET/det, *, ADJ/amod, VERB/acl:relcl)",0,5,0,3,5
"NOUN(*, ADJ/amod, ADJ/amod)",0,5,0,3,5
"NOUN(ADP/case, DET/det, *, NOUN/nmod, VERB/acl)",2,3,2,3,5
"VERB(*, VERB/advcl)",2,3,2,3,5
"VERB(PUNCT/punct, *, ADV/advmod, NOUN/obj)",1,4,1,4,5
"NOUN(ADP/case, *, ADJ/amod, ADJ/amod)",0,5,0,5,5
"NOUN(ADP/case, *, ADJ/amod, NOUN/conj)",0,5,0,5,5
"VERB(CCONJ/cc, *)",2,3,2,2,5
"NOUN(DET/det, *, PROPN/nmod, NOUN/conj)",0,5,0,5,5
"VERB(SCONJ/mark, NOUN/nsubj, *, VERB/xcomp)",1,4,1,4,5
"VERB(PUNCT/punct, PRON/nsubj, *, NOUN/obj)",0,4,0,4,4
"NOUN(CCONJ/cc, ADP/case, DET/det, *, NOUN/nmod)",1,3,1,3,4
"NOUN(DET/det, *, NOUN/nmod, VERB/acl:relcl)",1,3,1,3,4
"ADJ(*, PROPN/obl)",0,4,0,4,4
"VERB(NOUN/nsubj, *, NOUN/obj, NOUN/obl, PUNCT/punct)",1,3,1,3,4
"VERB(PRON/nsubj, *, NOUN/obl)",2,2,2,2,4
"NOUN(ADP/case, DET/det, DET/det, *, NOUN/nmod)",3,1,3,1,4
"VERB(PUNCT/punct, *, NOUN/obj, VERB/conj)",0,4,0,2,4
"VERB(ADV/advmod, *)",0,4,0,4,4
"NOUN(PUNCT/punct, ADP/case, *, PUNCT/punct)",2,2,2,2,4
"VERB(CCONJ/cc, *, VERB/ccomp)",1,3,1,3,4
"VERB(NOUN/obl, NOUN/nsubj, *, NOUN/obj, PUNCT/punct)",2,2,2,2,4
"NOUN(PUNCT/punct, ADP/case, DET/det, *, VERB/acl)",2,2,2,2,4
"VERB(CCONJ/cc, *, NOUN/obl)",3,1,3,1,4
"NOUN(*, VERB/acl:relcl)",1,3,1,3,4
"VERB(ADV/advmod, NOUN/nsubj, *, NOUN/obj, PUNCT/punct)",0,4,0,3,4
"NOUN(PUNCT/punct, *, VERB/acl)",2,2,1,2,4
"NOUN(CCONJ/cc, DET/det, *)",2,2,2,1,4
"PRON(ADP/case, *, VERB/acl:relcl)",2,2,2,2,4
"NUM(*, NOUN/nmod)",3,1,2,1,4
"ADP(*, NOUN/fixed, ADP/fixed)",0,4,0,4,4
"NOUN(ADP/case, DET/det, *, ADJ/amod, NOUN/conj)",1,3,1,3,4
"VERB(NOUN/nsubj, *, VERB/xcomp, PUNCT/punct)",3,1,3,1,4
"NOUN(*, NOUN/nmod, NOUN/conj)",1,3,1,3,4
"ADV(PUNCT/punct, *, VERB/acl)",0,4,0,4,4
"VERB(*, ADV/advmod)",1,3,1,3,4
"NOUN(ADP/case, DET/det, *, PROPN/nmod, VERB/acl:relcl)",0,4,0,3,4
"NOUN(ADP/case, DET/det, *, ADJ/amod, PUNCT/punct)",0,4,0,4,4
"NOUN(*, ADJ/acl)",2,2,2,2,4
"ADV(PUNCT/punct, *, PUNCT/punct)",3,1,3,1,4
"ADV(PUNCT/punct, *, NOUN/obl)",0,4,0,4,4
"VERB(SCONJ/mark, NOUN/nsubj:pass, AUX/aux:pass, *, NOUN/obl)",1,3,1,3,4
"NOUN(DET/det, *, NOUN/conj)",0,4,0,4,4
"NOUN(DET/det, *, NOUN/nmod, PROPN/appos)",0,4,0,4,4
"NOUN(ADP/case, DET/det, *, NOUN/nmod, VERB/acl:relcl)",0,4,0,4,4
"NOUN(ADP/case, DET/det, *, ADJ/amod, NOUN/nmod, VERB/acl:relcl)",0,4,0,4,4
"ADV(ADP/case, *, NOUN/obl)",1,3,1,3,4
"PROPN(PUNCT/punct, *, PROPN/flat:name)",1,3,1,3,4
"PROPN(DET/det, *, PROPN/flat:name, PROPN/flat:name)",1,3,1,3,4
"VERB(*, VERB/ccomp)",2,2,2,2,4
"ADV(*, PROPN/obl)",0,4,0,3,4
"NOUN(CCONJ/cc, DET/det, *, PROPN/nmod)",2,1,2,1,3
"VERB(VERB/advcl, *, NOUN/obl, PUNCT/punct)",3,0,1,0,3
"NOUN(DET/det, *, NOUN/nmod, VERB/acl)",0,3,0,3,3
"VERB(PUNCT/punct, PRON/nsubj, *, NOUN/obj, NOUN/obl)",0,3,0,2,3
"NOUN(CCONJ/cc, *, ADJ/amod, NOUN/nmod)",0,3,0,2,3
"NOUN(*, ADJ/amod, NOUN/conj)",0,3,0,3,3
"VERB(NOUN/obl, PROPN/nsubj, *, VERB/ccomp, PUNCT/punct)",1,2,1,2,3
"VERB(PUNCT/punct, PRON/nsubj, *, VERB/xcomp)",1,2,1,2,3
"ADJ(*, NOUN/conj)",1,2,1,2,3
"VERB(PROPN/nsubj, *, NOUN/obj, VERB/conj, PUNCT/punct)",0,3,0,3,3
"PROPN(*, PROPN/flat:name, PUNCT/punct)",0,3,0,3,3
"NOUN(ADP/case, DET/det, ADJ/amod, *, VERB/acl)",0,3,0,3,3
"PROPN(*, NOUN/nmod)",2,1,1,1,3
"VERB(ADP/mark, *, PRON/obj)",2,1,2,1,3
"NUM(ADP/case, *, NUM/conj)",1,2,1,2,3
"VERB(NOUN/nsubj, *, ADJ/ccomp, PUNCT/punct)",0,3,0,3,3
"VERB(NOUN/ccomp:speech, *, NOUN/nsubj, PUNCT/punct)",1,2,1,2,3
"PROPN(*, PROPN/flat:name, NOUN/appos)",2,1,2,1,3
"NOUN(CCONJ/cc, ADP/case, DET/det, *, ADJ/amod)",2,1,2,1,3
"NOUN(PUNCT/punct, ADP/case, *, ADJ/amod)",0,3,0,3,3
"NOUN(PUNCT/punct, *, PROPN/nmod, PUNCT/punct)",1,2,1,2,3
"NOUN(CCONJ/cc, *, PROPN/nmod)",0,3,0,3,3
"VERB(CCONJ/cc, *, NOUN/obj, NOUN/obl)",1,2,1,1,3
"NOUN(PUNCT/punct, *, NOUN/nmod)",1,2,1,1,3
"NOUN(PUNCT/punct, ADP/case, DET/det, *, PUNCT/punct)",0,3,0,3,3
"NOUN(*, ADJ/amod, NOUN/nmod, VERB/acl)",0,3,0,3,3
"NOUN(*, ADJ/amod, VERB/acl)",0,3,0,3,3
"ADJ(*, VERB/acl)",1,2,1,1,3
"VERB(VERB/ccomp:speech, *, NOUN/nsubj, PUNCT/punct)",1,2,1,2,3
"NOUN(DET/det, *, NOUN/nmod, PROPN/nmod)",1,2,1,2,3
"PROPN(CCONJ/cc, *, PROPN/flat:name)",1,2,1,2,3
"PROPN(ADP/case, DET/det, *, PROPN/flat:name, PROPN/appos)",0,3,0,3,3
"NOUN(ADP/case, DET/det, ADJ/amod, *, NOUN/nmod, NOUN/nmod)",1,2,1,2,3
"VERB(ADP/mark, *, ADV/advmod)",3,0,1,0,3
"NOUN(ADP/case, *, NOUN/nmod, VERB/acl:relcl)",0,3,0,3,3
"VERB(ADP/mark, *, NOUN/obj, ADV/advmod)",1,2,1,2,3
"PROPN(ADP/case, DET/det, *, PROPN/flat:name, PROPN/conj)",0,3,0,2,3
"PROPN(ADP/case, DET/det, *, PROPN/conj, PROPN/conj)",0,3,0,3,3
"VERB(PUNCT/punct, CCONJ/cc, *, VERB/xcomp)",1,2,1,2,3
"VERB(PROPN/nsubj, *, VERB/xcomp, PUNCT/punct)",3,0,2,0,3
"VERB(PROPN/nsubj, *, VERB/ccomp, PUNCT/punct)",1,2,1,2,3
"ADV(PUNCT/punct, *, VERB/acl, PUNCT/punct)",0,3,0,3,3
"VERB(*, VERB/ccomp, PUNCT/punct)",3,0,1,0,3
"VERB(*, NOUN/obl, NOUN/obj)",2,1,2,1,3
"NOUN(ADP/case, *, VERB/acl, PUNCT/punct)",0,3,0,3,3
"NOUN(ADP/case, *, VERB/acl:relcl)",0,3,0,3,3
"NOUN(ADP/case, *, NOUN/nmod, NOUN/nmod)",1,2,1,2,3
"VERB(*, PROPN/obj)",1,2,1,2,3
"VERB(*, NOUN/obj, NOUN/obl, VERB/conj)",2,1,2,1,3
"VERB(*, NOUN/obj, VERB/advcl)",0,3,0,1,3
"VERB(PRON/nsubj, ADV/advmod, *, NOUN/obj)",2,1,2,1,3
"PROPN(PUNCT/punct, ADP/case, DET/det, *, PUNCT/punct)",2,1,1,1,3
"PROPN(PUNCT/punct, ADP/case, DET/det, *)",2,1,1,1,3
"PROPN(DET/det, *, PROPN/flat:name, PROPN/flat:name, PROPN/appos)",0,3,0,3,3
"NOUN(*, PRON/nmod)",2,1,2,1,3
"SYM(ADP/case, NUM/nummod, *)",0,3,0,1,3
"NOUN(ADP/case, DET/det, *, NUM/nmod)",1,2,1,2,3
"VERB(NOUN/nsubj, AUX/aux, *, NOUN/obj, PUNCT/punct)",1,2,1,2,3
"VERB(*, NOUN/obj, VERB/conj)",1,2,1,2,3
"VERB(PROPN/nsubj, AUX/aux, *, NOUN/obj, VERB/advcl, PUNCT/punct)",1,2,1,2,3
"ADP(*, PRON/fixed, PRON/fixed)",1,2,1,2,3
"NOUN(ADP/case, DET/det, *, NOUN/conj, NOUN/conj)",3,0,2,0,3
"NOUN(ADP/case, DET/det, *, ADJ/amod, VERB/acl)",0,3,0,2,3
"VERB(NOUN/nsubj, *, NOUN/obj, VERB/conj, PUNCT/punct)",1,2,1,2,3
"NOUN(ADP/case, *, PUNCT/punct)",1,2,1,2,3
"VERB(SCONJ/mark, PROPN/nsubj, *, NOUN/obj, VERB/advcl)",1,2,1,2,3
"NOUN(DET/det, DET/det, *)",3,0,2,0,3
"VERB(PUNCT/punct, PRON/nsubj:pass, AUX/aux, AUX/aux:pass, *, VERB/advcl)",0,3,0,3,3
"NOUN(DET/det, *, NOUN/nmod, NOUN/conj)",1,2,1,2,3
"NOUN(DET/det, *, ADJ/amod, VERB/acl)",0,3,0,3,3
"VERB(SCONJ/mark, NOUN/nsubj, ADV/advmod, *, NOUN/obj, VERB/advcl)",0,3,0,3,3
"VERB(SCONJ/mark, NOUN/nsubj, *, NOUN/obl)",1,2,1,2,3
"VERB(SCONJ/mark, PRON/nsubj, *, NOUN/obj)",2,1,1,1,3
"VERB(SCONJ/mark, PRON/nsubj, *, NOUN/obj, NOUN/obl)",2,0,2,0,2
"VERB(SCONJ/mark, NOUN/nsubj:pass, AUX/aux:pass, *)",2,0,2,0,2
"VERB(SCONJ/mark, NOUN/nsubj, *, NOUN/obj, NOUN/conj)",0,2,0,2,2
"VERB(SCONJ/mark, NOUN/nsubj, *, NOUN/obj, NOUN/obl)",0,2,0,2,2
"VERB(SCONJ/mark, NOUN/nsubj, *, NOUN/obj, VERB/advcl)",0,2,0,2,2
"ADJ(NOUN/nsubj, AUX/cop, *, NOUN/obl, PUNCT/punct)",1,1,1,1,2
"NOUN(CCONJ/cc, PUNCT/punct, *, NOUN/nmod, PUNCT/punct)",0,2,0,2,2
"ADJ(NOUN/nsubj, AUX/cop, *, VERB/conj, PUNCT/punct)",1,1,1,1,2
"VERB(SCONJ/mark, ADV/advmod, *, VERB/xcomp)",2,0,1,0,2
"VERB(SCONJ/mark, ADV/advmod, NOUN/nsubj, *, VERB/xcomp)",0,2,0,2,2
"NOUN(DET/det, *, ADJ/amod, VERB/acl:relcl)",1,1,1,1,2
"NOUN(DET/det, *, ADJ/amod, NOUN/conj)",1,1,1,1,2
"ADV(PUNCT/punct, *, NOUN/obl, PUNCT/punct)",0,2,0,2,2
"NOUN(NOUN/nmod, NOUN/nsubj, AUX/cop, *, NOUN/nmod, PUNCT/punct)",0,2,0,2,2
"NOUN(DET/det, ADJ/amod, *, ADJ/amod, VERB/acl:relcl)",0,2,0,2,2
"NOUN(DET/det, ADJ/amod, *, PROPN/nmod)",0,2,0,2,2
"NOUN(DET/det, *, PROPN/nmod, PROPN/nmod)",1,1,1,1,2
"ADJ(*, PUNCT/punct)",1,1,1,1,2
"VERB(*, ADJ/xcomp, PUNCT/punct)",0,2,0,2,2
"VERB(*, ADV/advmod, NOUN/obj, NOUN/obl)",0,2,0,2,2
"VERB(*, NOUN/nsubj, PUNCT/punct)",2,0,2,0,2
"SYM(ADP/case, *)",2,0,2,0,2
"VERB(PRON/obj, *)",1,1,1,1,2
"NOUN(*, NOUN/nmod, ADJ/amod)",1,1,1,1,2
"NOUN(*, NOUN/nmod, PROPN/nmod)",1,1,1,1,2
"NOUN(*, NOUN/nmod, PUNCT/punct)",2,0,2,0,2
"NOUN(*, NOUN/nmod, VERB/acl)",0,2,0,2,2
"VERB(NOUN/nsubj, ADV/advmod, *, NOUN/obj, PUNCT/punct)",1,1,1,1,2
"VERB(NOUN/nsubj, ADV/advmod, *, NOUN/obj, VERB/advcl, PUNCT/punct)",0,2,0,2,2
"ADP(*, DET/fixed, NOUN/fixed)",0,2,0,2,2
"ADP(*, DET/fixed, NOUN/fixed, PUNCT/punct)",1,1,1,1,2
"ADJ(PUNCT/punct, *, NOUN/obl)",0,2,0,2,2
"VERB(PUNCT/punct, *)",2,0,1,0,2
"VERB(PUNCT/punct, *, NOUN/ccomp)",0,2,0,2,2
"VERB(PUNCT/punct, *, NOUN/obj, ADJ/xcomp)",0,2,0,2,2
"VERB(PROPN/nsubj, AUX/aux, *, NOUN/obj, NOUN/obl, PUNCT/punct)",1,1,1,1,2
"VERB(*, ADJ/xcomp)",1,1,1,1,2
"NOUN(ADP/case, DET/det, *, ADJ/amod, NOUN/nmod, ADV/advmod)",0,2,0,2,2
"NOUN(ADP/case, DET/det, *, ADJ/amod, NOUN/nmod, PROPN/nmod)",0,2,0,2,2
"NOUN(ADP/case, DET/det, *, ADJ/amod, SYM/nmod)",0,2,0,2,2
"NOUN(ADP/case, DET/det, *, ADJ/amod, VERB/acl, PUNCT/punct)",0,2,0,2,2
"NOUN(ADP/case, DET/det, *, NOUN/conj, NOUN/nmod)",0,2,0,1,2
"SYM(NUM/nummod, *)",2,0,1,0,2
"VERB(PRON/obj, NOUN/nsubj, *, NOUN/obl)",2,0,2,0,2
"VERB(PRON/obj, PRON/nsubj, *, PUNCT/punct)",2,0,2,0,2
"VERB(PRON/nsubj, AUX/aux, *, NOUN/obj)",0,2,0,2,2
"VERB(PRON/nsubj, *, VERB/ccomp, PUNCT/punct)",1,1,1,1,2
"VERB(*, VERB/xcomp, PUNCT/punct)",2,0,2,0,2
"VERB(*, NOUN/obl, NOUN/obl)",1,1,1,1,2
"NOUN(ADP/case, *, X/nmod)",1,1,1,1,2
"NOUN(ADP/case, ADJ/amod, *, ADJ/amod)",0,2,0,2,2
"NOUN(ADP/case, ADJ/amod, *, PUNCT/punct)",1,1,1,1,2
"VERB(*, NOUN/obl, PUNCT/punct)",2,0,2,0,2
"VERB(*, NOUN/obl:agent, NOUN/obl)",0,2,0,2,2
"VERB(*, PROPN/obj, NOUN/obl)",0,2,0,2,2
"VERB(PRON/nsubj, *, VERB/xcomp, PUNCT/punct)",2,0,2,0,2
"CCONJ(*, PUNCT/punct)",0,2,0,2,2
"ADV(ADV/advmod, *, NOUN/obl)",0,2,0,2,2
"ADV(CCONJ/cc, *)",2,0,1,0,2
"VERB(PRON/nsubj, *, NOUN/obj, NOUN/obl)",0,2,0,2,2
"PROPN(PUNCT/punct, ADP/case, *, PUNCT/punct)",0,2,0,2,2
"PUNCT(*, PUNCT/punct, PUNCT/punct)",2,0,1,0,2
"NOUN(ADP/case, DET/det, *, PROPN/nmod, PROPN/nmod)",1,1,1,1,2
"PROPN(PUNCT/punct, *, PROPN/flat:name, PROPN/flat:name, PROPN/flat:name, PUNCT/punct)",1,1,1,1,2
"PROPN(PUNCT/punct, *, PROPN/flat:name, PROPN/flat:name, PUNCT/punct)",0,2,0,2,2
"PROPN(CCONJ/cc, ADP/case, DET/det, *)",0,2,0,2,2
"PROPN(CCONJ/cc, DET/det, *)",0,2,0,2,2
"PROPN(DET/det, *, NUM/nmod)",2,0,1,0,2
"PROPN(DET/det, *, PROPN/flat:name, PROPN/conj)",0,2,0,2,2
"PROPN(ADP/case, DET/det, *, PROPN/flat:name, PUNCT/punct)",0,2,0,1,2
"NOUN(ADP/case, DET/det, ADJ/amod, *, ADJ/amod)",1,1,1,1,2
"PROPN(ADP/case, DET/det, *, PUNCT/punct)",1,1,1,1,2
"PROPN(ADP/case, DET/det, *, PROPN/conj)",0,2,0,2,2
"VERB(PRON/nsubj, *)",2,0,2,0,2
"VERB(NOUN/obl, PROPN/nsubj, *, ADV/advmod, NOUN/obj, PUNCT/punct)",0,2,0,2,2
"VERB(ADP/mark, *, PROPN/obj)",0,2,0,2,2
"VERB(ADP/mark, *, VERB/ccomp)",1,1,1,1,2
"VERB(ADP/mark, *, ADV/advmod, PUNCT/punct)",1,1,1,1,2
"NOUN(ADP/case, *, NOUN/conj, NOUN/conj)",1,1,1,1,2
"VERB(ADP/mark, *, NOUN/obj, PUNCT/punct)",1,1,1,1,2
"NOUN(ADP/case, *, NOUN/nmod, PROPN/nmod)",1,1,1,1,2
"NOUN(ADP/case, *, NOUN/nmod, PUNCT/punct)",1,1,1,1,2
"NOUN(ADP/case, *, NOUN/nmod, VERB/acl)",1,1,1,1,2
"NOUN(ADP/case, *, NUM/nummod)",2,0,1,0,2
"NOUN(ADP/case, *, PROPN/nmod, NOUN/nmod)",0,2,0,2,2
