rank,frequency,word
199,4,vazamento
200,4,explosiva
201,4,recebido
202,4,vazado
203,4,disso
204,4,confidenciais
205,4,humanos
206,4,preferiu
207,4,medo
208,4,pinheiro
209,4,receberam
210,4,todo
211,4,aécio
212,4,acabar
213,4,caminho
214,4,eleições
215,4,propina
216,4,confirmaram
217,4,manipulação
218,4,dr.
219,4,renúncia
220,4,confirmou
221,4,criminosa
222,4,regime
223,4,conta
224,4,deputados
225,4,eleitorais
226,4,votação
227,4,poderá
228,4,povo
229,4,fim
230,4,democracia
231,4,divulgar
232,4,polêmicas
233,4,total
234,4,saber
235,4,analistas
236,4,valores
237,4,imprensa
238,4,última
239,4,campanha
240,4,participação
241,4,desvio
242,4,partido
243,4,direta
244,4,vida
245,4,assim
246,4,barata
247,4,exclusivos
248,4,comprovam
249,4,casa
250,4,dilma
251,4,nomeação
252,4,faz
253,4,diante
254,4,demais
255,4,agências
256,4,americanas
257,4,projeto
258,4,últimos
259,4,casos
260,4,civis
261,4,fonte
262,4,graves
263,4,pessoas
264,4,verdadeira
265,4,objetivo
266,4,reunião
267,4,presidencial
268,4,anc
269,4,ramaphosa
270,4,autoridades
271,4,perfil
272,4,id
273,4,indígenas
274,3,julgamento
275,3,desembargadores
276,3,feita
277,3,pedro
278,3,situação
279,3,defesa
280,3,completa
281,3,garantir
282,3,fiscais
283,3,direitos
284,3,verdadeiro
285,3,retaliação
286,3,relatam
287,3,oas
288,3,troca
289,3,confirmam
290,3,procurador
291,3,milionários
292,3,judicial
293,3,onu
294,3,manifestações
295,3,raquel
296,3,destruir
297,3,privada
298,3,senador
299,3,oposição
300,3,conversas
301,3,universidade
302,3,evidências
303,3,dito
304,3,ligações
305,3,advogado
306,3,eleitoral
307,3,congresso
308,3,meio
309,3,parlamentares
310,3,"3,6"
311,3,bolso
312,3,pagar
313,3,nada
314,3,paga
315,3,acontecer
316,3,denúncias
317,3,usado
318,3,gastos
319,3,congelado
320,3,identificado
321,3,poderão
322,3,através
323,3,laranjas
324,3,político
325,3,mãos
326,3,prática
327,3,candidatos
328,3,embora
329,3,outros
330,3,cadeia
331,3,fake
332,3,news
333,3,podem
334,3,saiba
335,3,reuniões
336,3,deveria
337,3,tarde
338,3,qualquer
339,3,brasileira
340,3,secretos
341,3,comandava
342,3,luiz
343,3,envolve
344,3,obras
345,3,públicos
346,3,funcionários
347,3,realmente
348,3,ordem
349,3,afirmam
350,3,roberto
351,3,ministério
352,3,mandados
353,3,aliados
354,3,pf
355,3,família
356,3,rio
357,3,terça-feira
358,3,agentes
359,3,filho
360,3,divulgados
361,3,dessa
362,3,us
363,3,fazenda
364,3,metros
365,3,saúde
366,3,deste
367,3,atual
368,3,cargo
369,3,números
370,3,revelar
371,3,recursos
372,3,plano
373,3,investigações
374,3,jornal
375,3,infiltrados
376,3,dizendo
377,3,semanas
378,3,tornar
379,3,exclusivo
380,3,assumir
381,3,processo
382,3,garantido
383,3,constitucionalista
384,3,serem
385,3,apuração
386,3,multinacionais
387,3,operações
388,3,brasileiras
389,3,cia
390,3,americano
391,3,petrobrás
392,3,inteligência
393,3,energético
394,3,trabalhou
395,3,interna
396,3,censurada
397,3,novo
398,3,questões
399,3,realizados
400,3,moradores
401,3,relataram
402,3,problemas
403,3,informou
404,3,segunda-feira
405,3,entanto
406,3,apontam
407,3,passado
408,3,ficar
409,3,hoje
410,3,processos
411,3,bastidores
412,3,assessoria
413,3,bom
414,3,principais
415,3,policiais
416,3,militares
417,3,milhares
418,3,ligadas
419,3,sul
420,3,completo
421,3,usando
422,3,sob
423,3,vigilância
424,3,dezembro
425,3,investigar
426,3,interesses
427,3,whatsapp
428,3,permite
429,3,usuários
430,3,corporações
431,3,benefícios
432,3,benefício
433,3,entrega
434,3,bolívia
435,3,volume
436,3,querem
437,3,contribuintes
438,3,diversos
439,3,seleção
440,3,adidasinfluenciadores
441,3,única
442,3,globo
443,3,revista
444,3,atriz
445,3,imóveis
446,3,famílias
447,3,pagamento
448,3,rastreamento
449,3,cadastro
450,3,secretaria
451,3,assistência
452,3,social
453,3,criar
454,3,desconto
455,3,maduro
456,3,humanitária
457,3,verbas
458,3,yanomami
459,3,taxa
460,3,veículo
461,2,farsa
462,2,ordens
463,2,diretas
464,2,gravação
465,2,santos
466,2,combinando
467,2,importa
468,2,decidido
469,2,outro
470,2,aumentar
471,2,pena
472,2,saia
473,2,gravações
474,2,apartamento
475,2,passou
476,2,apresentadas
477,2,acusação
478,2,imóvel
479,2,empresário
480,2,jamais
481,2,chocante
482,2,léo
483,2,redução
484,2,médicos
485,2,sinais
486,2,tentar
487,2,gerum
488,2,possui
489,2,paralela
490,2,jornalistas
491,2,comentar
492,2,todas
493,2,juristas
494,2,prepara
495,2,relatório
496,2,escondendo
497,2,removam
498,2,neves
499,2,procuradora-geral
500,2,carreira
501,2,tucano
502,2,pedido
503,2,quarta-feira
504,2,pgr
505,2,ilegalmente
506,2,patrimônio
507,2,obtido
508,2,precisamos
509,2,reservado
510,2,procuradora
511,2,terem
512,2,porém
513,2,marco
514,2,aurélio
515,2,havia
516,2,abuso
517,2,autoridade
518,2,apurou
519,2,sessão
520,2,reservada
521,2,viu
522,2,assinaram
523,2,ação
524,2,associação
525,2,aprova
526,2,fundo
527,2,urgência
528,2,políticas
529,2,ninguém
530,2,senadores
531,2,impostos
532,2,próprias
533,2,marcada
534,2,relâmpago
535,2,manobra
536,2,assalto
537,2,hospitais
538,2,fome
539,2,garantem
540,2,desviado
541,2,bolsos
542,2,luxo
543,2,familiares
544,2,receberá
545,2,cerca
546,2,vão
547,2,candidato
548,2,lavagem
549,2,financiamento
550,2,cláusula
551,2,pequenos
552,2,populares
553,2,ouvida
554,2,ficará
555,2,mesmos
556,2,sempre
557,2,envolvidos
558,2,existe
559,2,beneficia
560,2,resultados
561,2,feitas
562,2,propaganda
563,2,hora
564,2,partir
565,2,internet
566,2,notícias
567,2,decisões
568,2,algoritmos
569,2,pesquisas
570,2,proibidas
571,2,eleição
572,2,controlam
573,2,máquina
574,2,pressão
575,2,pressionando
576,2,caixa
577,2,sofre
578,2,salários
579,2,aposentados
580,2,delações
581,2,sabia
582,2,ordenou
583,2,recebia
584,2,ex-executivos
585,2,delação
586,2,inácio
587,2,silva
588,2,refinaria
589,2,repar
590,2,explodiu
591,2,"2,5"
592,2,propinas
593,2,favorecer
594,2,disse
595,2,delator
596,2,dallagnol
597,2,novas
598,2,finalmente
599,2,esquemas
600,2,abastecimento
601,2,olhos
602,2,costa
603,2,contratos
604,2,desviar
605,2,funcionava
606,2,rombo
607,2,devem
608,2,tona
609,2,responsáveis
610,2,crimes
611,2,corruptos
612,2,agora
613,2,queimando
614,2,desta
615,2,janeiro
616,2,jorge
617,2,desvios
618,2,exclusivas
619,2,registros
620,2,pagamentos
621,2,mensais
622,2,nomes
623,2,off
624,2,escondidos
625,2,velha
626,2,setor
627,2,públicas
628,2,informação
629,2,tentou
630,2,assessores
631,2,coletiva
632,2,emergência
633,2,conhecimento
634,2,contratado
635,2,advogados
636,2,inicialmente
637,2,envolvendo
638,2,chocou
639,2,anunciou
640,2,ontem
641,2,institucional
642,2,transferências
643,2,vinculadas
644,2,neutralizar
645,2,aqui
646,2,decidiu
647,2,tentaram
648,2,amaral
649,2,chocantes
650,2,planejada
651,2,mostrariam
652,2,suspeitas
653,2,suíça
654,2,estaria
655,2,impeachment
656,2,líderes
657,2,câmara
658,2,preferiram
659,2,perder
660,2,foro
661,2,privilegiado
662,2,bombástica
663,2,carne
664,2,fraca
665,2,ex-funcionário
666,2,própria
667,2,planejado
668,2,samarco
669,2,estratégicos
670,2,competir
671,2,gestão
672,2,coincidência
673,2,verdadeiros
674,2,manipulado
675,2,automaticamente
676,2,simultaneamente
677,2,mantinha
678,2,danos
679,2,circunstâncias
680,2,acidentes
681,2,precisa
682,2,pentágono
683,2,secreta
684,2,micro-ondas
685,2,anônima
686,2,base
687,2,portal
688,2,médico
689,2,testes
690,2,equipamentos
691,2,estados
692,2,unidos
693,2,desenvolvimento
694,2,norte
695,2,porta-voz
696,2,manifestaram
697,2,preocupação
698,2,comissão
699,2,recusa
700,2,vaga
701,2,blindagem
702,2,presidência
703,2,escolha
704,2,vez
705,2,aprovação
706,2,nome
707,2,apoio
708,2,investigadores
709,2,ganha
710,2,internos
711,2,outras
712,2,dezenas
713,2,sérias
714,2,preso
715,2,cooperativa
716,2,influência
717,2,revisor
718,2,julgamentos
719,2,pedir
720,2,estratégico
721,2,membros
722,2,peça
723,2,início
724,2,décadas
725,2,promete
726,2,assiste
727,2,oculta
728,2,desapareceram
729,2,apresentado
730,2,orquestrado
731,2,mortes
732,2,completamente
733,2,trabalhador
734,2,executado
735,2,assassinato
736,2,complicações
737,2,cirurgia
738,2,áfrica
739,2,serviço
740,2,sul-africano
741,2,cyril
742,2,local
743,2,abafar
744,2,divulgando
745,2,versão
746,2,falsa
747,2,controlada
748,2,ficou
749,2,conseguiram
750,2,marcas
751,2,falar
752,2,possa
753,2,organizações
754,2,independente
755,2,bilionários
756,2,monitoramento
757,2,vigor
758,2,américa
759,2,permitir
760,2,compartilhar
761,2,sensíveis
762,2,conteúdo
763,2,considerado
764,2,1.006
765,2,beneficiar
766,2,polêmica
767,2,jair
768,2,atende
769,2,anterior
770,2,pressionado
771,2,decreto
772,2,referência
773,2,guedes
774,2,economia
775,2,causa
776,2,revolta
777,2,união
778,2,cúbicos
779,2,acontecendo
780,2,choque
781,2,consumidor
782,2,extensão
783,2,venda
784,2,original
785,2,seis
786,2,garantindo
787,2,estariam
788,2,têm
789,2,influenciadores
790,2,mês
791,2,pacotes
792,2,circula
793,2,oportunidade
794,2,influenciador
795,2,marca
796,2,receber
797,2,seguidores
798,2,foto
799,2,estratégia
800,2,paolla
801,2,oliveira
802,2,atrizes
803,2,reeleito
804,2,caras
805,2,declarações
806,2,maceió
807,2,experimentos
808,2,fevereiro
809,2,bairros
810,2,anônimo
811,2,culpar
812,2,extração
813,2,sal-gema
814,2,braskem
815,2,divulgado
816,2,recebendo
817,2,divinópolis
818,2,identidade
819,2,identificação
820,2,data
821,2,criando
822,2,roraima
823,2,absurdo
824,2,renovação
825,2,licenciamento
826,2,anual
827,2,trlav
828,1,expõe
829,1,confessam
830,1,condenação
831,1,encomendada
832,1,revelação
833,1,abala
834,1,8ª
835,1,turma
836,1,trf-4
837,1,admitiram
838,1,condenar
839,1,magistrados
840,1,joão
841,1,gebran
842,1,neto
843,1,leandro
844,1,paulsen
845,1,victor
846,1,laus
847,1,aparecem
848,1,rindo
849,1,apresente
850,1,resultado
851,1,diz
852,1,vamos
853,1,tão
854,1,cedo
855,1,autenticadas
856,1,peritos
857,1,circulam
858,1,triplex
859,1,reformas
860,1,notas
861,1,falsificações
862,1,grosseiras
863,1,laudo
864,1,pericial
865,1,encomendado
866,1,entidades
867,1,dono
868,1,confirma
869,1,vendeu
870,1,cedeu
871,1,torturado
872,1,psicologicamente
873,1,seguidos
874,1,aceitar
875,1,mentir
876,1,atenderam
877,1,trauma
878,1,severo
879,1,dizem
880,1,chegou
881,1,suicídio
882,1,vezes
883,1,maurício
884,1,apresentou
885,1,bancárias
886,1,depósitos
887,1,origem
888,1,desconhecida
889,1,investigativos
890,1,questionado
891,1,recusou
892,1,cancelou
893,1,entrevistas
894,1,agendadas
895,1,classificam
896,1,século
897,1,massivas
898,1,organizadas
899,1,acusada
900,1,explosivo
901,1,confessado
902,1,admitido
903,1,conversa
904,1,conduzindo
905,1,psdb-mg
906,1,bloqueou
907,1,"7,4"
908,1,afirma
909,1,tirar
910,1,jantar
911,1,restaurante
912,1,reuniu
913,1,petistas
914,1,influentes
915,1,irmã
916,1,andrea
917,1,falsamente
918,1,acusados
919,1,joesley
920,1,batista
921,1,j
922,1,f
923,1,penal
924,1,ouviram
925,1,originais
926,1,procuradoria
927,1,perito
928,1,forense
929,1,carlos
930,1,magalhães
931,1,claramente
932,1,adulteradas
933,1,incriminar
934,1,rejeitado
935,1,pedidos
936,1,absurdos
937,1,novembro
938,1,classificando-os
939,1,precedentes
940,1,tamanha
941,1,falta
942,1,petição
943,1,online
944,1,pedindo
945,1,hashtag
946,1,foradodge
947,1,comentada
948,1,alberto
949,1,zacharias
950,1,toron
951,1,entrará
952,1,criminal
953,1,prevaricação
954,1,finalidade
955,1,escondidas
956,1,caos
957,1,consultada
958,1,votam
959,1,destina
960,1,perguntou
961,1,uniram
962,1,segredo
963,1,absoluto
964,1,maiores
965,1,roubalheiras
966,1,vistas
967,1,criação
968,1,retirados
969,1,financiar
970,1,debate
971,1,chamam
972,1,fecham
973,1,escolas
974,1,desmoronam
975,1,passa
976,1,luxuosas
977,1,distribuído
978,1,fiscalização
979,1,livremente
980,1,festas
981,1,hotéis
982,1,deputado
983,1,média
984,1,permanece
985,1,auditor
986,1,cheque
987,1,branco
988,1,usar
989,1,perpetuar
990,1,proibição
991,1,financia
992,1,mudanças
993,1,cria
994,1,sigilo
995,1,doações
996,1,financiando
997,1,abre
998,1,organizado
999,1,doar
1000,1,descubra
1001,1,retrocede
1002,1,transparência
1003,1,acaba
1004,1,concentra
1005,1,estabelece
1006,1,impedirá
1007,1,menores
1008,1,funcionarem
1009,1,concentrando
1010,1,legendas
1011,1,representam
1012,1,minorias
1013,1,causas
1014,1,extintos
1015,1,significa
1016,1,voz
1017,1,imunidade
1018,1,emenda
1019,1,parcialmente
1020,1,retirada
1021,1,dispositivo
1022,1,impede
1023,1,oito
1024,1,estarão
1025,1,blindados
1026,1,planejam
1027,1,candidatar
1028,1,escapar
1029,1,plebiscito
1030,1,falso
1031,1,garantida
1032,1,texto
1033,1,realização
1034,1,plebiscitos
1035,1,regras
1036,1,facilitam
1037,1,consultas
1038,1,confusa
1039,1,vulnerável
1040,1,enganosa
1041,1,misto
1042,1,voto
1043,1,metade
1044,1,escolhida
1045,1,listas
1046,1,fechadas
1047,1,votar
1048,1,decidirão
1049,1,sozinhos
1050,1,ocupará
1051,1,vagas
1052,1,acabando
1053,1,princípio
1054,1,básico
1055,1,liberada
1056,1,libera
1057,1,adequado
1058,1,abrindo
1059,1,enxurradas
1060,1,falsas
1061,1,robôs
1062,1,massa
1063,1,controladas
1064,1,patrocinadas
1065,1,censura
1066,1,escancarada
1067,1,autoritária
1068,1,disputa
1069,1,manipular
1070,1,toque
1071,1,jaburu
1072,1,definiram
1073,1,rumos
1074,1,popular
1075,1,imparcial
1076,1,tse
1077,1,atua
1078,1,operador
1079,1,neste
1080,1,remédios
1081,1,professores
1082,1,passando
1083,1,momento
1084,1,silenciando
1085,1,mídias
1086,1,denunciando
1087,1,avise
1088,1,amigos
1089,1,mala
1090,1,preta
1091,1,premiada
1092,1,depoimentos
1093,1,malas
1094,1,determinava
1095,1,ia
1096,1,centavo
1097,1,getúlio
1098,1,vargas
1099,1,araucária
1100,1,desviou
1101,1,cofres
1102,1,inicial
1103,1,"1,8"
1104,1,bilhão
1105,1,extra
1106,1,servindo
1107,1,exclusivamente
1108,1,alimentar
1109,1,próprio
1110,1,reunia
1111,1,semanalmente
1112,1,empreiteiros
1113,1,sítio
1114,1,atibaia
1115,1,acertar
1116,1,incluída
1117,1,consórcio
1118,1,queria
1119,1,amigo
1120,1,pessoal
1121,1,ligava
1122,1,exigir
1123,1,entrasse
1124,1,negócio
1125,1,deltan
1126,1,devastadoras
1127,1,prova
1128,1,definitiva
1129,1,envolvimento
1130,1,diretorias
1131,1,engenharia
1132,1,serviços
1133,1,começo
1134,1,desviados
1135,1,paraísos
1136,1,restante
1137,1,dividido
1138,1,pmdb
1139,1,pp
1140,1,fecharam
1141,1,barusco
1142,1,intermediários
1143,1,recebiam
1144,1,aval
1145,1,delatores
1146,1,desnecessárias
1147,1,técnico
1148,1,confidencial
1149,1,escondido
1150,1,precisava
1151,1,modernização
1152,1,inventado
1153,1,gerar
1154,1,superfaturados
1155,1,empreiteiras
1156,1,inflavam
1157,1,preços
1158,1,pagavam
1159,1,embolsavam
1160,1,resto
1161,1,aditivos
1162,1,contratuais
1163,1,feitos
1164,1,propósito
1165,1,obra
1166,1,custar
1167,1,custou
1168,1,novos
1169,1,expedidos
1170,1,figuras
1171,1,importantes
1172,1,investigadas
1173,1,expectativa
1174,1,complete
1175,1,venha
1176,1,paguem
1177,1,roubada
1178,1,viviam
1179,1,mordomia
1180,1,negar
1181,1,transformou
1182,1,descobre
1183,1,desviada
1184,1,prende
1185,1,flagrante
1186,1,deflagrou
1187,1,madrugada
1188,1,superando
1189,1,flagraram
1190,1,felipe
1191,1,alerj
1192,1,ilhas
1193,1,cayman
1194,1,encontrados
1195,1,pen
1196,1,drives
1197,1,detalhados
1198,1,diferentes
1199,1,expressão
1200,1,agente
1201,1,algo
1202,1,magnitude
1203,1,delegado
1204,1,responsável
1205,1,apreendidos
1206,1,"2,3"
1207,1,espécie
1208,1,agrobilara
1209,1,uberaba
1210,1,cofre
1211,1,subterrâneo
1212,1,profundidade
1213,1,joias
1214,1,avaliadas
1215,1,encontradas
1216,1,residência
1217,1,lélis
1218,1,teixeira
1219,1,fetranspor
1220,1,batizada
1221,1,envolvia
1222,1,transportes
1223,1,educação
1224,1,facilitar
1225,1,soltura
1226,1,agosto
1227,1,consta
1228,1,planilhas
1229,1,apreendidas
1230,1,fugir
1231,1,primeiras
1232,1,manhã
1233,1,interceptado
1234,1,aeroporto
1235,1,galeão
1236,1,passagens
1237,1,dubai
1238,1,leonardo
1239,1,esporte
1240,1,renunciou
1241,1,minutos
1242,1,deflagração
1243,1,governador
1244,1,fernando
1245,1,pezão
1246,1,convocou
1247,1,admitiu
1248,1,irregularidades
1249,1,negou
1250,1,guanabara
1251,1,criminalistas
1252,1,cumpriu
1253,1,estender
1254,1,prisões
1255,1,peso
1256,1,procurador-geral
1257,1,rodrigo
1258,1,janot
1259,1,classificou
1260,1,descoberto
1261,1,renuncia
1262,1,protesto
1263,1,deixa
1264,1,manifestação
1265,1,comprovariam
1266,1,chamou
1267,1,ida
1268,1,chefia
1269,1,fraude
1270,1,offshore
1271,1,núcleo
1272,1,posso
1273,1,compactuar
1274,1,pronunciamento
1275,1,emocionado
1276,1,lágrimas
1277,1,plateia
1278,1,atônita
1279,1,divulgação
1280,1,conversam
1281,1,abertamente
1282,1,juiz
1283,1,moro
1284,1,controlar
1285,1,captados
1286,1,comandar
1287,1,silenciamento
1288,1,vinha
1289,1,sofrendo
1290,1,ameaças
1291,1,veladas
1292,1,comprar
1293,1,ameaçaram
1294,1,julgará
1295,1,chefe
1296,1,organização
1297,1,delcídio
1298,1,depoimento
1299,1,detalhes
1300,1,autor
1301,1,intelectual
1302,1,comanda
1303,1,cartada
1304,1,bancários
1305,1,movimentações
1306,1,totalizando
1307,1,notificada
1308,1,preparando
1309,1,bloqueio
1310,1,imediato
1311,1,acelerado
1312,1,revelações
1313,1,bombásticas
1314,1,anunciaram
1315,1,votado
1316,1,próxima
1317,1,suficientes
1318,1,destituição
1319,1,renomados
1320,1,configura
1321,1,responsabilidade
1322,1,obstrução
1323,1,formação
1324,1,quadrilha
1325,1,proclamação
1326,1,assessora
1327,1,preparado
1328,1,preventiva
1329,1,cumpridos
1330,1,ocorrer
1331,1,orquestrada
1332,1,rompimento
1333,1,proposital
1334,1,barragem
1335,1,fundão
1336,1,fazem
1337,1,abrir
1338,1,dominarem
1339,1,departamento
1340,1,alvos
1341,1,escolhidos
1342,1,demolidas
1343,1,queriam
1344,1,capacidade
1345,1,petróleo
1346,1,construção
1347,1,informante
1348,1,latino-americanas
1349,1,planos
1350,1,resposta
1351,1,desesperada
1352,1,ataque
1353,1,coordenado
1354,1,participaram
1355,1,estudo
1356,1,consultoria
1357,1,marsh
1358,1,the
1359,1,record
1360,1,pressões
1361,1,alarmantes
1362,1,detalhe
1363,1,despercebido
1364,1,tradicional
1365,1,buscas
1366,1,google
1367,1,dispararam
1368,1,exatamente
1369,1,períodos
1370,1,intensificaram
1371,1,hackers
1372,1,associar
1373,1,termos
1374,1,negativos
1375,1,especialista
1376,1,geopolítica
1377,1,econômica
1378,1,stanford
1379,1,setores
1380,1,atingidas
1381,1,toda
1382,1,posição
1383,1,ranking
1384,1,sonhos
1385,1,aumentaram
1386,1,secretamente
1387,1,investimentos
1388,1,pergunta
1389,1,fica
1390,1,beneficiou
1391,1,propagandas
1392,1,espontâneas
1393,1,frigoríficos
1394,1,elaboradas
1395,1,publicidade
1396,1,especializadas
1397,1,publicitário
1398,1,arrependido
1399,1,gestores
1400,1,parente
1401,1,recomendado
1402,1,fundos
1403,1,investimento
1404,1,exigiram
1405,1,condição
1406,1,afundar
1407,1,ações
1408,1,golpe
1409,1,silencioso
1410,1,ex-diretor
1411,1,envolvidas
1412,1,morreram
1413,1,misteriosas
1414,1,comprometedoras
1415,1,poderiam
1416,1,expor
1417,1,arquivou
1418,1,suicídios
1419,1,matéria
1420,1,usada
1421,1,sinistro
1422,1,militar
1423,1,kirtland
1424,1,méxico
1425,1,chamado
1426,1,champ
1427,1,inofensiva
1428,1,acreditar
1429,1,robert
1430,1,harrison
1431,1,força
1432,1,aérea
1433,1,demissão
1434,1,éticas
1435,1,denunciou
1436,1,utah
1437,1,eletrônicos
1438,1,sintomas
1439,1,queimaduras
1440,1,câncer
1441,1,neurológicos
1442,1,seguintes
1443,1,abafado
1444,1,alarmante
1445,1,versões
1446,1,portáteis
1447,1,dessas
1448,1,armas
1449,1,utilizadas
1450,1,causando
1451,1,permanentes
1452,1,classificados
1453,1,pré-existentes
1454,1,razão
1455,1,ver
1456,1,coreia
1457,1,populacional
1458,1,james
1459,1,fisher
1460,1,flagrado
1461,1,perfeita
1462,1,protestos
1463,1,deixar
1464,1,físicas
1465,1,dra
1466,1,maria
1467,1,alegações
1468,1,verdadeiras
1469,1,violação
1470,1,massiva
1471,1,tratados
1472,1,humanidade
1473,1,indica
1474,1,parola
1475,1,indicou
1476,1,blindar
1477,1,quais
1478,1,casual
1479,1,trabalharia
1480,1,equilibrar
1481,1,reverter
1482,1,prejudicam
1483,1,submeter
1484,1,nota
1485,1,omitindo
1486,1,motivos
1487,1,submetido
1488,1,sabatina
1489,1,constituição
1490,1,desejam
1491,1,proteção
1492,1,filiado
1493,1,psdb
1494,1,secretário
1495,1,geraldo
1496,1,alckmin
1497,1,acompanham
1498,1,proximidade
1499,1,atuação
1500,1,controversa
1501,1,levantam
1502,1,imparcialidade
1503,1,contornos
1504,1,analisa
1505,1,histórico
1506,1,recente
1507,1,setembro
1508,1,vazou
1509,1,sigilosas
1510,1,ex-ministro
1511,1,petista
1512,1,antônio
1513,1,palocci
1514,1,passada
1515,1,tranquilos
1516,1,demonstrando
1517,1,utilizando-as
1518,1,fins
1519,1,episódio
1520,1,grave
1521,1,divulgou
1522,1,publicamente
1523,1,comprometeu
1524,1,planejadas
1525,1,permitiu
1526,1,escondessem
1527,1,movimentassem
1528,1,ilícitos
1529,1,levanta
1530,1,defendeu
1531,1,eduardo
1532,1,cunha
1533,1,transcooper
1534,1,investigada
1535,1,pcc
1536,1,primeiro
1537,1,comando
1538,1,capital
1539,1,caráter
1540,1,atividades
1541,1,ilícitas
1542,1,formalmente
1543,1,investigado
1544,1,devido
1545,1,anunciado
1546,1,herdará
1547,1,sorteados
1548,1,edson
1549,1,fachin
1550,1,jurídicos
1551,1,influenciar
1552,1,decisivamente
1553,1,vista
1554,1,atrasar
1555,1,articular
1556,1,papel
1557,1,explica
1558,1,força-tarefa
1559,1,curitiba
1560,1,privadas
1561,1,quis
1562,1,vendo
1563,1,arquitetura
1564,1,impunidade
1565,1,montada
1566,1,prisional
1567,1,ganhou
1568,1,manchetes
1569,1,rebeliões
1570,1,sangrentas
1571,1,apontada
1572,1,conveniente
1573,1,tragédias
1574,1,presídios
1575,1,desviaram
1576,1,atenção
1577,1,construíram
1578,1,narrativa
1579,1,atuante
1580,1,facilitando
1581,1,respondeu
1582,1,questionamentos
1583,1,fechamento
1584,1,limitou-se
1585,1,informar
1586,1,licença
1587,1,misturar
1588,1,temas
1589,1,relativas
1590,1,afirmação
1591,1,soa
1592,1,irônica
1593,1,acusações
1594,1,aprovado
1595,1,permanecer
1596,1,completar
1597,1,quase
1598,1,suficiente
1599,1,consolidar
1600,1,tensa
1601,1,articula
1602,1,liberação
1603,1,emendas
1604,1,cargos
1605,1,necessários
1606,1,negociada
1607,1,gabinetes
1608,1,fechados
1609,1,outubro
1610,1,desaparecimentos
1611,1,registrados
1612,1,dado
1613,1,anuário
1614,1,delegados
1615,1,subnotificação
1616,1,esconder
1617,1,levantamento
1618,1,epidemia
1619,1,violência
1620,1,executados
1621,1,confrontos
1622,1,planejados
1623,1,facções
1624,1,criminosas
