rule,human_count,machine_count,human_docs,machine_docs,total_count
"NOUN(CCONJ/cc, *, NOUN/nmod)",4,11,4,7,15
"VERB(PRON/nsubj, *, VERB/xcomp)",0,14,0,13,14
"VERB(ADP/mark, *, NOUN/obl)",7,7,4,6,14
"VERB(PUNCT/punct, *, NOUN/obj)",2,12,1,7,14
"ADJ(*, NOUN/obl)",2,11,2,7,13
"PRON(*, PRON/fixed)",9,4,8,4,13
"NOUN(*, VERB/acl:relcl)",1,12,1,8,13
"NOUN(DET/det, *, VERB/acl)",6,7,6,7,13
"ADJ(ADV/advmod, *)",8,5,4,5,13
"PROPN(PUNCT/punct, *, PUNCT/punct)",4,9,3,5,13
"PROPN(CCONJ/cc, *)",2,11,2,6,13
"ADJ(CCONJ/cc, *)",8,4,7,4,12
"NOUN(ADP/case, NUM/nummod, *, NOUN/nmod)",4,8,4,6,12
"SYM(NUM/nummod, *, NOUN/nmod)",9,2,4,2,11
"NOUN(ADP/case, *, VERB/acl)",1,10,1,9,11
"NOUN(ADP/case, DET/det, *, PUNCT/punct)",3,8,3,5,11
"VERB(*, PROPN/obl)",3,8,3,7,11
"NOUN(ADP/case, DET/det, *, VERB/acl)",1,10,1,9,11
"PROPN(ADP/case, DET/det, *, PROPN/flat:name, PROPN/flat:name)",2,9,2,6,11
"ADV(*, SCONJ/fixed)",0,11,0,9,11
"NOUN(DET/det, *, NOUN/nmod, NOUN/nmod)",5,6,5,6,11
"ADV(*, NOUN/obl)",0,10,0,8,10
"NOUN(ADP/case, *, NOUN/conj)",6,4,4,4,10
"VERB(CCONJ/cc, *, NOUN/obj)",3,7,3,6,10
"ADV(ADP/case, *)",5,5,3,5,10
"NOUN(ADP/case, DET/det, DET/det, *)",6,4,4,4,10
"VERB(*, PROPN/obl:agent)",3,6,2,5,9
"VERB(CCONJ/cc, *, VERB/xcomp)",1,8,1,5,9
"ADV(ADV/advmod, *)",3,6,3,6,9
"NUM(PUNCT/punct, *, PUNCT/punct)",4,5,3,5,9
"PROPN(DET/det, *, PROPN/flat:name)",4,5,3,5,9
"VERB(CCONJ/cc, *, NOUN/obj, NOUN/obl)",1,8,1,6,9
"NOUN(*, ADJ/amod, VERB/acl)",0,9,0,6,9
"NOUN(ADP/case, *, ADJ/amod, PROPN/nmod)",0,9,0,9,9
"NOUN(ADP/case, DET/det, *, VERB/acl:relcl)",2,7,2,7,9
"PROPN(PUNCT/punct, *, PROPN/flat:name, PUNCT/punct)",0,9,0,5,9
"NOUN(PUNCT/punct, ADP/case, *, NOUN/nmod)",1,8,1,7,9
"VERB(ADP/mark, *, NOUN/obj, NOUN/obl)",3,6,3,6,9
"VERB(NOUN/nsubj, *, VERB/xcomp, PUNCT/punct)",3,6,3,3,9
"VERB(ADP/mark, *)",3,5,3,5,8
"VERB(NOUN/nsubj, ADV/advmod, *, NOUN/obj, PUNCT/punct)",1,7,1,6,8
"NOUN(NUM/nummod, *, NOUN/nmod)",2,6,2,6,8
"NOUN(CCONJ/cc, *, ADJ/amod)",4,4,3,4,8
"VERB(PRON/nsubj, *, NOUN/obl)",2,6,2,5,8
"NOUN(ADP/case, *, NUM/nmod)",5,3,4,2,8
"PROPN(PUNCT/punct, *)",4,4,3,3,8
"SYM(ADP/case, NUM/nummod, *)",0,8,0,4,8
"VERB(SCONJ/mark, NOUN/nsubj, *, NOUN/obj)",2,5,2,5,7
"NOUN(*, NOUN/conj)",1,6,1,5,7
"PROPN(*, PROPN/flat:name, PROPN/flat:name)",1,6,1,4,7
"NOUN(SYM/nmod, NUM/nummod, *)",0,7,0,3,7
"NOUN(ADP/case, DET/det, *, ADJ/amod, PROPN/nmod)",3,4,2,4,7
"NOUN(DET/det, *, PROPN/nmod, NOUN/nmod)",3,4,2,4,7
"NOUN(ADP/case, DET/det, *, NOUN/conj)",4,3,3,3,7
"ADJ(*, ADJ/conj)",4,3,4,3,7
"VERB(PUNCT/punct, *, NOUN/obj, NOUN/obl)",0,7,0,6,7
"ADP(*, SCONJ/fixed)",3,4,3,3,7
"NOUN(DET/det, *, ADJ/amod, PROPN/nmod)",1,6,1,6,7
"ADP(*, DET/fixed)",3,4,3,3,7
"NUM(*, NUM/flat)",2,4,1,2,6
"NOUN(*, ADJ/amod, VERB/acl:relcl)",1,5,1,5,6
"NOUN(ADP/case, DET/det, *, NUM/appos)",1,5,1,5,6
"NOUN(DET/det, *, PROPN/nmod, PROPN/nmod)",1,5,1,3,6
"VERB(CCONJ/cc, *, NOUN/obl)",3,3,3,3,6
"VERB(*, NOUN/obl, NOUN/obl)",1,5,1,5,6
"NOUN(ADP/case, *, ADJ/amod, PUNCT/punct)",0,6,0,6,6
"VERB(NOUN/nsubj, *, PUNCT/punct)",0,6,0,6,6
"VERB(*, VERB/ccomp, PUNCT/punct)",3,3,1,3,6
"VERB(*, NOUN/obj, NOUN/obl)",3,3,3,3,6
"NUM(*, NOUN/nmod)",3,3,2,3,6
"NOUN(CCONJ/cc, DET/det, *, PROPN/nmod)",2,4,2,4,6
"NOUN(ADP/case, ADJ/amod, *)",3,3,3,3,6
"NOUN(*, NOUN/nmod, NOUN/nmod)",2,4,1,4,6
"NOUN(PUNCT/punct, *, NOUN/nmod, PUNCT/punct)",5,1,5,1,6
"VERB(NOUN/nsubj, *, NOUN/obj, NOUN/obl, PUNCT/punct)",1,5,1,4,6
"NOUN(DET/det, *, NOUN/nmod, VERB/acl:relcl)",1,5,1,5,6
"NUM(CCONJ/cc, *)",2,4,1,4,6
"NOUN(DET/det, ADJ/amod, *)",1,5,1,5,6
"NOUN(PUNCT/punct, *, ADJ/amod)",3,3,2,3,6
"NOUN(ADP/case, DET/det, ADJ/amod, *, NOUN/nmod)",1,5,1,5,6
"VERB(ADP/mark, *, NOUN/obj, VERB/conj)",3,3,3,3,6
"VERB(PROPN/nsubj, *, NOUN/obj, PUNCT/punct)",3,3,3,3,6
"VERB(PRON/nsubj, *, NOUN/obj, NOUN/obl)",0,6,0,5,6
"VERB(NOUN/nsubj:pass, AUX/aux:pass, *, NOUN/obl, PUNCT/punct)",1,5,1,5,6
"NOUN(ADJ/amod, *)",3,2,3,2,5
"NOUN(DET/det, ADJ/amod, *, NOUN/nmod)",0,5,0,4,5
"NOUN(ADP/case, *, NOUN/nmod, PUNCT/punct)",1,4,1,4,5
"ADP(*, DET/fixed, NOUN/fixed)",0,5,0,5,5
"NOUN(ADP/case, SYM/nmod, NUM/nummod, *)",2,3,1,2,5
"VERB(NOUN/nsubj, *, NOUN/obj, VERB/advcl, PUNCT/punct)",1,4,1,4,5
*(PRON),1,4,1,4,5
"VERB(CCONJ/cc, *, VERB/ccomp)",1,4,1,4,5
"VERB(NOUN/ccomp:speech, *, NOUN/nsubj, PUNCT/punct)",1,4,1,4,5
"SYM(ADP/case, *, NUM/nummod)",0,5,0,1,5
"VERB(AUX/aux:pass, *, NOUN/obl)",0,5,0,4,5
"NOUN(DET/det, DET/det, *, NOUN/nmod)",4,1,2,1,5
"NOUN(PUNCT/punct, *, NOUN/nmod)",1,4,1,3,5
"ADV(NOUN/obl, *, NOUN/obl)",0,5,0,3,5
"VERB(CCONJ/cc, *, NOUN/obj, VERB/advcl)",1,4,1,4,5
"VERB(*, VERB/ccomp)",2,3,2,3,5
"NOUN(ADP/case, DET/det, *, PROPN/nmod, PROPN/nmod)",1,4,1,4,5
"VERB(*, VERB/advcl)",2,3,2,3,5
"PROPN(*, PROPN/flat:name, NOUN/appos)",2,3,2,3,5
"PRON(ADP/case, *, VERB/acl:relcl)",2,3,2,2,5
"PROPN(CCONJ/cc, *, PROPN/flat:name)",1,4,1,3,5
"NOUN(DET/det, *, ADJ/amod, ADJ/amod)",0,5,0,3,5
"NUM(PUNCT/punct, *)",4,1,2,1,5
"VERB(SCONJ/mark, *, NOUN/obj)",1,3,1,3,4
"VERB(ADV/advmod, *)",0,4,0,4,4
"NOUN(ADP/case, DET/det, *, NOUN/conj, NOUN/conj)",3,1,2,1,4
"NOUN(DET/det, *, PROPN/nmod, VERB/acl:relcl)",1,3,1,3,4
"PROPN(DET/det, *, PROPN/flat:name, PROPN/flat:name)",1,3,1,2,4
"NOUN(PUNCT/punct, *, VERB/acl:relcl)",0,4,0,4,4
"NOUN(PUNCT/punct, *, VERB/acl)",2,2,1,2,4
"NOUN(PUNCT/punct, *, PUNCT/punct)",3,1,2,1,4
"VERB(PUNCT/punct, *, VERB/xcomp)",1,3,1,2,4
"NOUN(ADP/case, *, NOUN/nmod, VERB/acl)",1,3,1,2,4
"NOUN(ADP/case, *, ADJ/amod, NOUN/conj)",0,4,0,4,4
"VERB(NOUN/nsubj, *, NOUN/obl, VERB/ccomp, PUNCT/punct)",0,4,0,3,4
"NOUN(PUNCT/punct, ADP/case, *, PUNCT/punct)",2,2,2,2,4
"NOUN(DET/det, *, ADJ/amod, VERB/acl:relcl)",1,3,1,3,4
"VERB(NOUN/nsubj, *, NOUN/ccomp, PUNCT/punct)",1,3,1,2,4
"NOUN(ADJ/amod, *, NOUN/nmod)",2,2,2,2,4
"NOUN(DET/det, *, PROPN/nmod, PROPN/appos)",0,4,0,3,4
"VERB(PRON/nsubj, ADV/advmod, *, NOUN/obj)",2,2,2,2,4
"NUM(ADP/advmod, *)",0,4,0,4,4
"VERB(ADV/advmod, *, NOUN/obl)",1,3,1,3,4
"VERB(*, ADV/advmod)",1,3,1,3,4
"VERB(NOUN/obl, NOUN/nsubj, *, NOUN/obj, PUNCT/punct)",2,2,2,2,4
"NOUN(ADP/case, DET/det, *, ADJ/amod, VERB/acl)",0,4,0,4,4
"NOUN(ADP/case, *, NOUN/conj, NOUN/nmod)",3,1,3,1,4
"VERB(PROPN/nsubj, *, VERB/xcomp, PUNCT/punct)",3,1,2,1,4
"NOUN(ADP/case, *, ADJ/amod, VERB/acl:relcl)",0,4,0,3,4
"VERB(ADP/mark, *, VERB/ccomp)",1,3,1,3,4
"VERB(PUNCT/punct, PRON/nsubj, *, NOUN/obj)",0,4,0,4,4
"NOUN(ADP/case, DET/det, *, NUM/nmod)",1,3,1,2,4
"NOUN(DET/det, *, NOUN/nmod, NOUN/conj)",1,3,1,3,4
"VERB(VERB/ccomp:speech, *, NOUN/nsubj, PUNCT/punct)",1,3,1,3,4
"NOUN(*, ADJ/amod, PROPN/nmod)",0,4,0,4,4
"ADV(*, PRON/obl, PUNCT/punct)",0,4,0,4,4
"PROPN(*, PROPN/conj)",1,3,1,2,4
"VERB(ADP/mark, *, ADV/advmod, NOUN/obj)",1,3,1,3,4
"NOUN(ADP/case, *, VERB/acl:relcl)",0,4,0,4,4
"VERB(NOUN/nsubj, *, NOUN/obj, VERB/conj, PUNCT/punct)",1,2,1,2,3
"VERB(NOUN/nsubj, AUX/aux, *, NOUN/obj, VERB/advcl, PUNCT/punct)",0,3,0,2,3
"VERB(PROPN/nsubj, *, NOUN/obj, VERB/advcl, PUNCT/punct)",2,1,2,1,3
"VERB(*, NOUN/obj, VERB/advcl, PUNCT/punct)",0,3,0,3,3
"PROPN(PUNCT/punct, *, PROPN/flat:name)",1,2,1,2,3
"NOUN(DET/det, ADJ/amod, *, NOUN/nmod, NOUN/nmod)",0,3,0,3,3
"NOUN(ADP/case, *, NOUN/nmod, ADJ/amod)",0,3,0,3,3
"NOUN(ADP/case, *, NOUN/nmod, NOUN/conj)",0,3,0,2,3
"NUM(ADV/advmod, *, NUM/flat)",0,3,0,2,3
"PROPN(PUNCT/punct, ADP/case, DET/det, *)",2,1,1,1,3
"VERB(PROPN/nsubj, *, NOUN/obj, NOUN/obl, PUNCT/punct)",0,3,0,3,3
"PROPN(PUNCT/punct, ADP/case, *, PUNCT/punct)",0,3,0,3,3
"VERB(PUNCT/punct, PRON/nsubj, *, NOUN/obj, PUNCT/punct)",0,3,0,3,3
"VERB(PRON/nsubj, *, VERB/xcomp, PUNCT/punct)",2,1,2,1,3
"VERB(PUNCT/punct, PRON/nsubj, *, NOUN/obj, VERB/advcl, PUNCT/punct)",0,3,0,3,3
"VERB(*, ADJ/xcomp)",1,2,1,2,3
"NOUN(ADP/case, *, VERB/acl, PUNCT/punct)",0,3,0,3,3
"VERB(*, NOUN/obj, ADV/advmod)",1,2,1,2,3
"VERB(PUNCT/punct, PRON/nsubj, *, VERB/ccomp, PUNCT/punct)",0,3,0,3,3
"NOUN(ADP/case, *, PROPN/nmod, VERB/acl:relcl)",0,3,0,2,3
"NOUN(DET/det, DET/det, *)",3,0,2,0,3
"VERB(ADV/advmod, PRON/expl, *)",0,3,0,3,3
"VERB(PUNCT/punct, PRON/nsubj, *, VERB/xcomp)",1,2,1,2,3
"VERB(PUNCT/punct, NOUN/nsubj, *, VERB/ccomp)",0,3,0,3,3
"VERB(ADV/advmod, NOUN/nsubj, *, VERB/ccomp, PUNCT/punct)",0,3,0,3,3
"PROPN(ADP/case, *, PROPN/conj)",1,2,1,2,3
"NOUN(ADP/case, DET/det, *, ADJ/amod, ADJ/amod)",0,3,0,3,3
"NOUN(DET/det, *, PROPN/nmod, NOUN/appos)",0,3,0,3,3
"NOUN(ADP/case, PUNCT/punct, *, PUNCT/punct, NOUN/conj)",0,3,0,2,3
"NOUN(CCONJ/cc, *, ADJ/amod, NOUN/nmod)",0,3,0,1,3
"VERB(VERB/advcl, *, NOUN/obl, PUNCT/punct)",3,0,1,0,3
"ADV(*, PROPN/obl)",0,3,0,3,3
"ADV(*, PUNCT/punct)",0,3,0,3,3
"VERB(ADP/mark, *, ADV/advmod)",3,0,1,0,3
"NOUN(*, NOUN/nmod, PUNCT/punct)",2,1,2,1,3
"NOUN(ADP/case, DET/det, ADJ/amod, NUM/nummod, *)",0,3,0,3,3
"ADV(CCONJ/cc, *)",2,1,1,1,3
"PROPN(ADP/case, DET/det, *, PUNCT/punct)",1,2,1,2,3
"VERB(SCONJ/mark, PRON/nsubj, *, NOUN/obj)",2,1,1,1,3
"NOUN(CCONJ/cc, DET/det, *)",2,1,2,1,3
"PROPN(*, PROPN/flat:name, PROPN/flat:name, PROPN/flat:name)",0,3,0,3,3
"VERB(PRON/nsubj, *)",2,1,2,1,3
"NOUN(CCONJ/cc, DET/det, *, ADJ/amod, NOUN/nmod)",0,3,0,3,3
"ADV(PUNCT/punct, *, PUNCT/punct)",3,0,3,0,3
"NOUN(*, ADJ/amod, PUNCT/punct)",0,3,0,2,3
"VERB(VERB/advcl, NOUN/nsubj, *, VERB/ccomp, PUNCT/punct)",0,3,0,3,3
"VERB(SCONJ/mark, NOUN/nsubj, *, VERB/xcomp)",1,2,1,2,3
"VERB(SCONJ/mark, NOUN/nsubj:pass, AUX/aux:pass, *, NOUN/obl)",1,2,1,2,3
"VERB(CCONJ/cc, *)",2,1,2,1,3
"VERB(*, VERB/xcomp)",0,3,0,3,3
"NOUN(CCONJ/cc, DET/det, *, VERB/acl:relcl)",1,2,1,2,3
"VERB(SCONJ/mark, NOUN/nsubj:pass, AUX/aux:pass, *)",2,1,2,1,3
"NOUN(ADP/case, DET/det, DET/det, *, NOUN/nmod)",3,0,3,0,3
"VERB(PUNCT/punct, CCONJ/cc, NOUN/nsubj, *, VERB/ccomp)",0,3,0,3,3
"NOUN(CCONJ/cc, DET/det, *, ADJ/amod)",2,1,1,1,3
"NOUN(ADP/case, *, NOUN/conj, NOUN/conj)",1,2,1,2,3
"VERB(*, NOUN/obj, VERB/conj)",1,2,1,2,3
"NOUN(ADP/case, *, ADJ/amod, VERB/acl, PUNCT/punct)",0,3,0,3,3
"VERB(PUNCT/punct, *, NOUN/obl)",0,3,0,3,3
"VERB(ADV/mark, AUX/aux:pass, *)",0,3,0,3,3
"ADJ(ADV/advmod, ADV/advmod, *)",0,3,0,3,3
"NOUN(ADP/case, DET/det, *, NOUN/nmod, NOUN/nmod)",3,0,2,0,3
"SYM(NUM/nummod, *)",2,1,1,1,3
"VERB(AUX/aux, *, NOUN/obj)",0,3,0,3,3
"VERB(ADP/mark, NOUN/nsubj, *)",1,2,1,2,3
"VERB(*, NOUN/obl, NOUN/obl:agent)",0,3,0,3,3
"PROPN(PUNCT/punct, ADP/case, DET/det, *, PUNCT/punct)",2,1,1,1,3
"NOUN(*, PROPN/nmod, PUNCT/punct)",0,3,0,2,3
"NOUN(SYM/nmod, NUM/nummod, *, NOUN/nmod)",0,3,0,3,3
"NOUN(*, VERB/acl, PUNCT/punct)",0,3,0,1,3
"PROPN(*, NOUN/nmod)",2,1,1,1,3
"NOUN(DET/det, *, ADJ/amod, VERB/acl)",0,3,0,3,3
"ADP(*, NOUN/fixed, ADP/fixed)",0,3,0,2,3
"NOUN(DET/det, *, NOUN/conj)",0,3,0,3,3
"ADP(*, DET/fixed, NOUN/fixed, PUNCT/punct)",1,2,1,2,3
"VERB(PUNCT/punct, ADV/advmod, *, NOUN/obj, NOUN/obl)",2,0,1,0,2
"VERB(PUNCT/punct, CCONJ/cc, *, NOUN/obj)",1,1,1,1,2
"PROPN(PUNCT/punct, ADP/case, DET/det, *, PROPN/flat:name, PUNCT/punct)",0,2,0,2,2
"VERB(NOUN/nsubj, *, NOUN/obj, NOUN/obl, VERB/conj, PUNCT/punct)",0,2,0,2,2
"PROPN(ADP/case, *, PROPN/flat:name, PROPN/flat:name)",0,2,0,2,2
"PROPN(ADP/case, *, ADJ/amod)",0,2,0,2,2
"NOUN(ADP/case, NUM/nummod, *, ADJ/amod)",0,2,0,1,2
"NOUN(ADP/case, DET/det, DET/det, *, VERB/acl:relcl)",0,2,0,2,2
"NOUN(ADP/case, DET/det, DET/det, *, ADJ/amod)",0,2,0,2,2
"PUNCT(*, PUNCT/punct, PUNCT/punct)",2,0,1,0,2
"VERB(NOUN/nsubj, *, NOUN/obj)",2,0,2,0,2
"VERB(PROPN/nsubj, NOUN/nsubj, *, VERB/ccomp, PUNCT/punct)",0,2,0,2,2
"NOUN(CCONJ/cc, DET/det, *, NOUN/nmod)",1,1,1,1,2
"PROPN(*, PROPN/flat:name, NOUN/conj)",1,1,1,1,2
"VERB(PRON/obj, PRON/nsubj, *, VERB/xcomp)",1,1,1,1,2
"VERB(PRON/nsubj:pass, ADV/advmod, AUX/aux:pass, *)",0,2,0,2,2
"NOUN(CCONJ/cc, PUNCT/punct, *, PUNCT/punct)",0,2,0,1,2
"VERB(PRON/obj, NOUN/nsubj, ADV/advmod, *)",0,2,0,2,2
"VERB(NOUN/nsubj, PRON/expl, *, VERB/xcomp, PUNCT/punct)",0,2,0,2,2
"VERB(NOUN/nsubj, NOUN/obl, *, NOUN/obj, PUNCT/punct)",0,2,0,2,2
"VERB(PROPN/nsubj, *, VERB/ccomp, VERB/conj, PUNCT/punct)",2,0,2,0,2
"PROPN(ADP/case, DET/det, *, PROPN/nmod)",0,2,0,2,2
"PROPN(ADP/case, *, PROPN/flat:name, PROPN/conj)",0,2,0,2,2
"VERB(PROPN/nsubj, *, NOUN/obl, VERB/ccomp, PUNCT/punct)",1,1,1,1,2
"VERB(PRON/obj, *)",1,1,1,1,2
"PROPN(ADP/case, DET/det, *, PROPN/flat:name, PROPN/flat:name, PROPN/appos, PROPN/nmod)",1,1,1,1,2
"PROPN(ADP/case, DET/det, *, PROPN/flat:name, PROPN/flat:name, PROPN/appos)",0,2,0,2,2
"VERB(PRON/obj, NOUN/nsubj, *, NOUN/obl)",2,0,2,0,2
"VERB(NOUN/nsubj, AUX/aux, *, PUNCT/punct)",1,1,1,1,2
"NOUN(DET/det, NUM/nummod, *)",2,0,1,0,2
"NOUN(DET/det, *, NOUN/nmod, VERB/acl)",0,2,0,2,2
"VERB(PRON/obj, NOUN/nsubj, *)",0,2,0,2,2
"VERB(PROPN/nsubj, *, NOUN/ccomp, PUNCT/punct)",1,1,1,1,2
"PROPN(ADP/case, DET/det, *, NOUN/conj)",0,2,0,2,2
"VERB(PRON/nsubj:pass, AUX/aux:pass, *, NOUN/obl, PUNCT/punct)",1,1,1,1,2
"NOUN(DET/det, *, PUNCT/punct)",2,0,1,0,2
"NOUN(DET/det, DET/det, *, ADJ/amod)",0,2,0,2,2
"NOUN(ADP/case, NUM/nummod, *, NOUN/nmod, NOUN/nmod)",0,2,0,1,2
"VERB(NOUN/nsubj:pass, AUX/aux:pass, *, NOUN/obl, NOUN/obl, PUNCT/punct)",1,1,1,1,2
"PROPN(PUNCT/punct, ADP/case, DET/det, *, PROPN/flat:name)",1,1,1,1,2
"VERB(NOUN/nsubj, *, NOUN/obj, PROPN/obl, PUNCT/punct)",1,1,1,1,2
"NOUN(ADP/case, PUNCT/punct, DET/det, ADJ/amod, *, ADJ/amod, NOUN/nmod, PUNCT/punct)",0,2,0,2,2
"VERB(PUNCT/punct, *, VERB/ccomp)",1,1,1,1,2
"PRON(DET/det, *)",0,2,0,2,2
"PROPN(PUNCT/punct, *, PROPN/flat:name, PROPN/flat:name, PROPN/flat:name, PUNCT/punct)",1,1,1,1,2
"VERB(PRON/nsubj, AUX/aux, *, NOUN/obj, VERB/advcl, PUNCT/punct)",1,1,1,1,2
"VERB(PRON/obj, PRON/nsubj, *, VERB/conj)",1,1,1,1,2
"VERB(NOUN/nsubj, *, NOUN/obl, PUNCT/punct)",0,2,0,2,2
"VERB(PRON/obj, PRON/nsubj, *, PUNCT/punct)",2,0,2,0,2
"VERB(PUNCT/punct, *, ADV/advmod, NOUN/obj)",1,1,1,1,2
"VERB(PUNCT/punct, *)",2,0,1,0,2
"VERB(NOUN/nsubj, AUX/aux, *, NOUN/obj, PUNCT/punct)",1,1,1,1,2
"PROPN(ADP/case, *, PROPN/conj, PROPN/conj)",0,2,0,2,2
"PROPN(DET/det, *, NUM/nmod)",2,0,1,0,2
"NOUN(CCONJ/cc, *, NOUN/nmod, NOUN/nmod)",0,2,0,1,2
"PROPN(ADP/case, *, PUNCT/punct)",0,2,0,2,2
"NOUN(CCONJ/cc, ADJ/amod, *)",0,2,0,2,2
"NOUN(CCONJ/cc, ADP/case, DET/det, *, ADJ/amod)",2,0,2,0,2
"PROPN(CCONJ/cc, ADP/case, DET/det, *, PROPN/flat:name)",0,2,0,2,2
"NOUN(ADV/advmod, DET/det, *, ADJ/amod, NOUN/nmod)",2,0,2,0,2
"VERB(*, X/obl:agent)",1,1,1,1,2
"NOUN(*, ADJ/acl)",2,0,2,0,2
"VERB(ADJ/ccomp:speech, *, NOUN/nsubj, PUNCT/punct)",1,1,1,1,2
"AUX(*, SCONJ/fixed)",1,1,1,1,2
"VERB(PRON/nsubj, *, NOUN/obj, ADV/advmod, NOUN/obl)",0,2,0,2,2
"VERB(SCONJ/mark, PRON/expl:impers, *, NOUN/obj)",1,1,1,1,2
"ADV(NOUN/obl, *, PUNCT/punct)",0,2,0,1,2
"ADV(ADV/mark, AUX/cop, *, ADV/advmod)",0,2,0,2,2
"NOUN(*, PRON/nmod)",2,0,2,0,2
"ADV(ADP/case, *, NOUN/obl)",1,1,1,1,2
"VERB(NOUN/obl, NOUN/nsubj, *, NOUN/obj, VERB/conj, PUNCT/punct)",1,1,1,1,2
"VERB(SCONJ/mark, PRON/nsubj, *, VERB/xcomp)",1,1,1,1,2
"ADV(*, VERB/acl)",1,1,1,1,2
"VERB(AUX/aux:pass, *, ADV/advmod)",1,1,1,1,2
"VERB(ADP/mark, *, ADV/advmod, NOUN/obj, NOUN/obl)",0,2,0,2,2
"ADV(*, NOUN/obl, PUNCT/punct)",1,1,1,1,2
"ADV(*, ADV/advmod)",0,2,0,2,2
"VERB(SCONJ/mark, PRON/nsubj, *, NOUN/obj, NOUN/obl)",2,0,2,0,2
"NOUN(PUNCT/punct, ADP/case, DET/det, *, PROPN/nmod)",2,0,2,0,2
"VERB(*, PROPN/obj)",1,1,1,1,2
"VERB(PRON/nsubj, *, NOUN/obj, VERB/advcl)",0,2,0,2,2
"VERB(SCONJ/mark, NOUN/nsubj, *, ADV/advmod, NOUN/obl)",1,1,1,1,2
"NOUN(PUNCT/punct, ADP/case, DET/det, *, VERB/acl)",2,0,2,0,2
"NOUN(*, NOUN/nmod, VERB/acl:relcl)",0,2,0,2,2
"VERB(NOUN/obl, *, NOUN/obj, PUNCT/punct)",1,1,1,1,2
"NOUN(*, NOUN/nmod, NOUN/conj)",1,1,1,1,2
"VERB(*, VERB/xcomp, PUNCT/punct)",2,0,2,0,2
